Frequency (Hz),Original SRS (g),Transmissibility T_abs,PCB-input SRS (g)
614.6358476368796,433.0971898832089,1.5454383221874235,669.3249944771943
618.1864045997179,433.84623698055736,1.5023317945509969,651.7809957621978
621.7574720075529,434.5965795643859,1.4610871929022407,634.9834964806438
625.3491683427413,435.3482198752548,1.4215910129999125,618.8871169001721
628.9616127720748,436.10116015759957,1.383738612869285,603.4500144271627
632.5949251507326,436.8554026597373,1.3474333819626234,588.6335526344535
636.2492260262595,437.6109496338738,1.312585999957257,574.4020059174231
639.9246366425668,438.3678033361099,1.2791137744018093,560.7222955014815
643.6212789439534,439.1259660264489,1.2469400478336883,547.5637530820347
647.3392755791504,439.88543996880156,1.2159936662070123,534.8979088587477
651.078749905392,440.6462274309953,1.1862085015181818,522.6983011405608
654.8398259925094,441.4083306847794,1.1575230224203703,510.94030505577615
658.6226286270462,442.1717520058321,1.1298799073989816,499.600978210795
662.4272833163968,442.93649367376804,1.1032256957551803,488.65892140860274
666.2539162929722,443.702557972143,1.077510472229199,478.0941527698674
670.1026545183897,444.46994718846355,1.0526875816020311,467.8879938006062
673.9736256876834,445.2386636141922,1.0287133700542697,458.022966125015
677.8669582335399,446.0087095447545,1.0055469504435683,448.4826977539991
681.7827813305611,446.78008727954585,0.9831499889955823,439.2518378923308
685.7212248995509,447.55279912193873,0.9614865111940442,430.31597940288174
689.6824196118247,448.32684737928963,0.9405227249096643,421.66158814732864
693.6664968935432,449.1022343629443,0.9202268590297412,413.2759385110509
697.6735889300749,449.8789623882473,0.9005690160451363,405.14705449739074
701.7038286703829,450.6570337745473,0.8815210372221809,397.2636558444103
705.7573498314329,451.4364508452046,0.8630563791373174,389.61510867706386
709.8342869026307,452.2172159275966,0.845150000484392,382.1913802602587
713.9347751502866,452.9993313531271,0.8277782581811526,374.9829974647183
718.0589506221015,453.78279945723176,0.8109188119043694,367.9810085984971
722.2069501516797,454.5676225793854,0.7945505362739205,361.17694829321175
726.3789113630697,455.3538030631089,0.7786534399867191,354.56280516612475
730.574972675332,456.1413432559764,0.7632085912727544,348.13099200765566
734.7952733071303,456.9302455096222,0.7481980491089001,341.8743182691501
739.0399532813492,457.72051217974814,0.7336047996824664,335.78596464818
743.3091534297411,458.5121456261289,0.7194126976466018,329.85945958862493
747.6030153976004,459.305148212622,0.7056064117543908,324.08865753062685
751.9216816484616,460.09952230717255,0.6921713744983801,318.4677187614037
756.2652954688245,460.89527028182124,0.6790937354178735,312.9910907321124
760.6340009729098,461.6923945127112,0.6663603177682751,307.65349071868604
765.0279431074417,462.49089738009496,0.6539585782752982,302.44988971595376
769.4472676564562,463.29078126834247,0.6418765697225296,297.37549746459445
773.8921212461358,464.0920485659459,0.6301029061437974,292.4257485196309
778.3626513496762,464.89470166552974,0.6186267304124955,287.5962892774392
782.8590062921804,465.6987429638562,0.6074376840386461,282.8829658856735
787.3813352555792,466.50417486183267,0.5965258790012611,278.2818129672127
791.9297882835781,467.3109997645189,0.5858818714586729,273.7890430952598
796.5045162866379,468.11922008113424,0.5754966371931665,269.40103696218057
801.1056710469829,468.92883822506485,0.5653615486586263,265.1143341896131
805.7334052236357,469.73985661387127,0.5554683535110677,260.9256247318321
810.3878723574798,470.5522776692939,0.5458091545120455,256.8317408283946
815.0692268763557,471.366103817263,0.536376390704102,252.8296494657586
819.7776241001868,472.181337487904,0.527162819765774,248.916445310898
824.5132202461305,472.99798111554514,0.5181615014612296,245.08934408296122
829.2761724337593,473.8160371387256,0.5093657821064961,241.34567633176758
834.066638690276,474.63550800020045,0.5007692799804814,237.6828815944304
838.8847779557586,475.4563961469509,0.49236587161473255,234.09850290369306
843.7307500884311,476.27870403018994,0.48414967890106936,230.5901816236339
848.6047158699668,477.1024341053698,0.4761150569609628,227.15565259029214
853.5068370108232,477.92758883218966,0.4682565827248808,223.79273953650303
858.4372761556104,478.7541706746025,0.4605690441737929,220.49935078181858
863.3961968884847,479.5821821008235,0.45304743019865223,217.27347516984017
868.3837637385745,480.41162558333497,0.4456869210369976,214.11317823661545
873.400142185441,481.24250359889703,0.4384828792488509,211.01659859496985
878.4454986645706,482.07481862855275,0.43143084119690067,207.98194452075984
883.5200005728941,482.90857315763634,0.4245265089985227,205.00749072806906
888.6238162743407,483.74376967578087,0.41776574291953156,202.09157532129737
893.757115105424,484.5804106769237,0.4111445541817344,199.23259691296556
898.9200673808631,485.4184986593171,0.4046590981583455,196.4290118968573
904.1128443992316,486.2580361255336,0.3983056679331705,193.6793318668524
909.3356184486387,487.0990255824737,0.3920806882011395,190.98212117248076
914.5885628124478,487.94146954137403,0.3859807094893322,188.33599460284694
919.8718517750269,488.78537051781416,0.38000240267908764,185.73961519115747
925.1856606275304,489.6307310317244,0.3741425538111121,183.1916921326111
930.5301656737117,490.477553607394,0.3683980591567272,180.69097880890357
935.9055442357758,491.32584077347616,0.36276592053952356,178.23627091304544
941.3119746602633,492.1755950629993,0.35724324089275444,175.82640466862583
946.749636323967,493.026819013372,0.35182722003876715,173.46025513803107
952.2187096398804,493.87951516639134,0.34651515067766625,171.13673461449486
957.7193760631861,494.7336860682506,0.34130441457323585,168.85479109318334
963.2518180972776,495.5893342695466,0.3361924789249306,166.61340681683492
968.8162192998129,496.44646232528805,0.33117689291546226,164.411596891762
974.4127642888027,497.30507279490104,0.32625528442416724,162.24840797028162
980.0416387487373,498.1651682422396,0.3214253568969648,160.12291699589835
985.7030294367501,499.0267512355917,0.3166848863642909,158.0342300077846
991.3971241888106,499.88982434768707,0.31203171859893875,155.98148100133042
997.1241119259562,500.754390155705,0.3074637664062188,153.96383084172223
1002.8841826605608,501.620451241282,0.30297900703932107,151.9804662276998
1008.6775275026429,502.4880101905203,0.2985754797332029,150.03059870281714
1014.504338666199,503.35706959399306,0.29425128335072953,148.11346371169495
1020.3648094755896,504.2276320467554,0.2900045741351471,146.22831969889293
1026.2591343719441,505.0997001483502,0.28583356356335987,144.37444724818747
1032.187508919622,505.97327650281636,0.2817365162947662,142.55114826015196
1038.1501298126905,506.8483637186963,0.2777117482107594,140.75774516608197
1044.1471948814622,507.7249644090446,0.27375762454023755,138.9935801763967
1050.1789030990474,508.60308119143355,0.2698725580667879,137.25801456178237
1056.245454587966,509.48271668796417,0.26605500741340515,135.5504279654181
1062.347050626778,510.36387352527186,0.26230347540089166,133.87021774473993
1068.4838936567699,511.2465543345348,0.25861650747625914,132.21679834126894
1074.656187288664,512.1307617514818,0.25499269020769966,130.58960067712886
1080.8641363093811,513.0164984164011,0.25143064984284663,128.98807157693741
1087.1079466888273,513.9037669741451,0.24792905092726641,127.41167321384688
1093.3878255867357,514.7925700741426,0.24448659498025133,125.85988257855956
1099.7039813595316,515.6829103704041,0.2411020192251849,124.33219097022447
1106.0566235672536,516.5747905215297,0.23777409537185734,122.82810350816344
1112.4459629804985,517.4682131907184,0.23450162844829261,121.34713866345172
1118.8722115874223,518.363181045775,0.2312834556797376,119.88882780940831
1125.3355826007646,519.2596967591172,0.2281184454126303,118.45271479012364
1131.836290464933,520.1577630077861,0.22500549608143913,117.03835550617856
1138.3745508631075,521.0573824734523,0.22194353521641477,115.64531751676957
1144.9505807244066,521.9585578424243,0.21893151849036388,114.27317965748237
1151.5645982310746,522.8612918056566,0.21596842880268177,112.92153167300816
1158.2168228257308,523.7655870587579,0.21305327539894542,111.58997386411987
1164.9074752186405,524.6714463019988,0.2101850930244825,110.27811674827538
1171.6367773950462,525.5788722403207,0.20736294111038364,108.98558073323147
